locationCode,isActive,creationDate
B3/1A,true,04/15/2023
B3/2A,true,04/15/2023
B3/3A,true,04/15/2023
B3/4A,true,04/15/2023
B3/5A,true,04/15/2023
B3/6A,true,04/15/2023
B3/7A,true,04/15/2023
B3/8A,true,04/15/2023
B3/9A,true,04/15/2023
B3/10A,true,04/15/2023
B3/11A,true,04/15/2023
B3/12A,true,04/15/2023
B3/13A,true,04/15/2023
B3/14A,true,04/15/2023
B3/15A,true,04/15/2023
B3/16A,true,04/15/2023
B3/17A,true,04/15/2023
B3/18A,true,04/15/2023
B3/19A,true,04/15/2023
B3/20A,true,04/15/2023
B3/21A,true,04/15/2023
B3/22A,true,04/15/2023
B3/23A,true,04/15/2023
B3/24A,true,04/15/2023
B3/25A,true,04/15/2023
B3/26A,true,04/15/2023
B3/27A,true,04/15/2023
B3/28A,true,04/15/2023
B3/1B,true,04/15/2023
B3/2B,true,04/15/2023
B3/3B,true,04/15/2023
B3/4B,true,04/15/2023
B3/5B,true,04/15/2023
B3/6B,true,04/15/2023
B3/7B,true,04/15/2023
B3/8B,true,04/15/2023
B3/9B,true,04/15/2023
B3/10B,true,04/15/2023
B3/11B,true,04/15/2023
B3/12B,true,04/15/2023
B3/13B,true,04/15/2023
B3/14B,true,04/15/2023
B3/15B,true,04/15/2023
B3/16B,true,04/15/2023
B3/17B,true,04/15/2023
B3/18B,true,04/15/2023
B3/19B,true,04/15/2023
B3/20B,true,04/15/2023
B3/21B,true,04/15/2023
B3/22B,true,04/15/2023
B3/23B,true,04/15/2023
B3/24B,true,04/15/2023
B3/25B,true,04/15/2023
B3/26B,true,04/15/2023
B3/27B,true,04/15/2023
B3/28B,true,04/15/2023
B3/1C,true,04/15/2023
B3/2C,true,04/15/2023
B3/3C,true,04/15/2023
B3/4C,true,04/15/2023
B3/5C,true,04/15/2023
B3/6C,true,04/15/2023
B3/7C,true,04/15/2023
B3/8C,true,04/15/2023
B3/9C,true,04/15/2023
B3/10C,true,04/15/2023
B3/11C,true,04/15/2023
B3/12C,true,04/15/2023
B3/13C,true,04/15/2023
B3/14C,true,04/15/2023
B3/15C,true,04/15/2023
B3/16C,true,04/15/2023
B3/17C,true,04/15/2023
B3/18C,true,04/15/2023
B3/19C,true,04/15/2023
B3/20C,true,04/15/2023
B3/21C,true,04/15/2023
B3/22C,true,04/15/2023
B3/23C,true,04/15/2023
B3/24C,true,04/15/2023
B3/25C,true,04/15/2023
B3/26C,true,04/15/2023
B3/27C,true,04/15/2023
B3/28C,true,04/15/2023
B4/1A,true,04/15/2023
B4/2A,true,04/15/2023
B4/3A,true,04/15/2023
