transactionDate,employee_employeeId,employee_employeeCode,employee_employeeName,paymentType,transactionDetails,amount
2/3/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
3/7/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
4/4/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
5/11/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
6/7/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
7/6/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
8/1/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
9/6/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
10/4/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
11/2/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
12/6/2020,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
1/3/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
2/6/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
3/3/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
4/7/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
5/9/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
6/6/2021,,SSCS07,K.ChakradharaRao,Salaries paid to Staff,K.ChakradharaRao,8500
3/3/2021,,SSCS08,Kannayya,Salaries paid to Staff,A.Kannayya,5000
4/7/2021,,SSCS08,Kannayya,Salaries paid to Staff,A.Kannayya,5000
5/9/2021,,SSCS08,Kannayya,Salaries paid to Staff,A.Kannayya,5000
6/6/2021,,SSCS08,Kannayya,Salaries paid to Staff,A.Kannayya,5000
1/11/2021,,SSCS09,Lakshmi,Bonus paid to staff,Sweeper Pongal Bonus,2500
1/4/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
2/3/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
3/7/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
4/4/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
5/11/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
6/7/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
7/6/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
8/1/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
9/6/2020,,SSCS09,Lakshmi,Salaries paid to Staff,Sweeper Lakshmi,2500
