productCategory,productVariety,productVarietyPrefix,yearlyRentPerQuintal,onesideHamaliPerQuintal,creationDate,lastModifiedDate,activeFrom,activeUntil
Aavapindi,Aavapindi,Aavapindi,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
All Spices,All Spices,All Spices,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Anumulu,Anumulu,Anumulu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Bobbara Pappu,Bobbara Pappu,Bobbara Pappu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Bobbarlu,Bobbarlu,Bobbarlu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chetny Drums,Chetny Drums,Chetny Drums,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chilli Powder,Chilli Powder,Chilli Powder,150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,341,Chillies (341),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Badigalu,Chillies (Badigalu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Deepikalu,Chillies (Deepikalu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Endo 5,Chillies (Endo 5),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Sannalu,Chillies (Sannalu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Talu,Chillies (Talu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Teja,Chillies (Teja),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Uttaradi Lavulu,Chillies (Uttaradi Lavulu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Warangal Mirchi,Chillies (Warangal Mirchi),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Warangal Papadalu,Chillies (Warangal Papadalu),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Bangaram Mirchi,Chillies (Bangaram Mirchi),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chillies,Bullets Mirchi,Chillies (Bullets Mirchi),150,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Chollu,Chollu,Chollu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Dhaniyalu,Dhaniyalu,Dhaniyalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Gantelu,Bazra,Gantelu (Bazra),75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Jaggery,Jaggery,Jaggery,120,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Jonnalu,Jonnalu,Jonnalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Kandi Pappu,Kandi Pappu,Kandi Pappu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Kunkullu,Kunkullu,Kunkullu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Mango Jelly,Mango Jelly,Mango Jelly,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Minumulu,Minumulu,Minumulu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Pesalu,Pesalu,Pesalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Potatoes,Potatoes,Potatoes,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Sanaga Pappu,Sanaga Pappu,Sanaga Pappu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Sanagalu,Sanagalu,Sanagalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Bada Bathi,Tamarind (Bada Bathi),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Chapathi,Tamarind (Chapathi),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Chikkulu,Tamarind (Chikkulu),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Deasavali,Tamarind (Deasavali),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Flower,Tamarind (Flower),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Hyd-Pala,Tamarind (Hyd-Pala),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Juice,Tamarind (Juice),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Karipuli,Tamarind (Karipuli),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Mudda,Tamarind (Mudda),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Mysore,Tamarind (Mysore),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Nagari,Tamarind (Nagari),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Pala,Tamarind (Pala),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Palta,Tamarind (Palta),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Tamarind,Tita,Tamarind (Tita),125,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Ulavalu,Ulavalu,Ulavalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
Veru Sanagalu,Veru Sanagalu,Veru Sanagalu,75,,2023-04-17,2023-04-17,2020-01-01,2100-01-01
