productName,productGroup,productSubGroup,productSubGroupPrefix,productNameComputed,HamaliPerBag,PlatformCooliPerBag,KataCooliPerBag,MamulluPerBag,MonthlyRentPerBag,YearlyRentPerBag,Insurance,ProductGroup,YearlyRentPerKg,BagSize
Aavapindi 40Kg Bags,Aavapindi,Aavapindi,Aavapindi,Aavapindi50Kg Bags,17.50,6.06,10.4,5,30,60,0,Aavapindi,1.5,50
Aavapindi 50Kg Bags,Aavapindi,Aavapindi,Aavapindi,Aavapindi50Kg Bags,17.50,6.06,10.4,5,30,75,0,Aavapindi,1.5,50
All Spices 50KG Bags,All Spices,All Spices,All Spices,All Spices50Kg Bags,17.50,6.06,10.4,5,30,75,0,All Spices,1.5,50
Anumulu 10Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu10Kg Bags,3.50,1.21,10.4,1,6,15,0,Anumulu,1.5,10
Anumulu 20Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu20Kg Bags,7,2.42,3.4,2,12,30,0,Anumulu,1.5,20
Anumulu 25Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu25Kg Bags,8.75,3.03,10.4,2.5,15,40,0,Anumulu,1.5,25
Anumulu 30Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu30Kg Bags,10.50,3.63,5.1,3,18,45,0,Anumulu,1.5,30
Anumulu 40Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Anumulu,1.5,50
Anumulu 50Kg Bags,Anumulu,Anumulu,Anumulu,Anumulu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Anumulu,1.5,50
Bobbara Pappu 50Kg Bags,Bobbara Pappu,Bobbara Pappu,Bobbara Pappu,Bobbara Pappu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Bobbarapappu,1.5,50
Bobbarlu 10Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu10Kg Bags,3.50,1.21,10.4,1,6,15,0,Bobbarlu,1.5,10
Bobbarlu 20Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu20Kg Bags,7,2.42,10.4,2,12,30,0,Bobbarlu,1.5,20
Bobbarlu 25Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu25Kg Bags,8.75,3.03,10.4,2.5,15,40,0,Bobbarlu,1.5,25
Bobbarlu 30Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu30Kg Bags,10.50,3.63,10.4,3,18,45,0,Bobbarlu,1.5,30
Bobbarlu 40Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Bobbarlu,1.5,50
Bobbarlu 50Kg Bags,Bobbarlu,Bobbarlu,Bobbarlu,Bobbarlu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Bobbarlu,1.5,50
Chetny Drums 50Kgs,Chetny Drums,Chetny Drums,Chetny Drums,Chetny Drums50Kg Bags,17.50,6.5,10.4,5,30,75,0,Chetny Drums,1.5,50
Chilli Powder 50Kg Bags,Chilli Powder,Chilli Powder,Chilli Powder,Chilli Powder50Kg Bags,17.6,6.5,10.4,5,30,150,0,Chilli Powder,3,50
Chillies-341-40Kg Bags,Chillies,341,Chillies (341),Chillies (341)50Kg Bags,17.6,6.5,10.4,5,30,150,4.8,Chillies,3,50
