productGroup,productSubGroup,productSubGroupPrefix,yearlyRentPerQuintal,onesideHamaliPerQuintal,creationDate
Aavapindi,Aavapindi,Aavapindi,75,,2022-03-14
All Spices,All Spices,All Spices,75,,2022-03-23
Anumulu,Anumulu,Anumulu,75,,2022-03-14
Bobbara Pappu,Bobbara Pappu,Bobbara Pappu,75,,2022-03-14
Bobbarlu,Bobbarlu,Bobbarlu,75,,2022-03-14
Chetny Drums,Chetny Drums,Chetny Drums,75,,2022-03-23
Chilli Powder,Chilli Powder,Chilli Powder,150,,2022-03-14
Chillies,341,Chillies (341),150,,2022-03-14
Chillies,Badigalu,Chillies (Badigalu),150,,2022-03-14
Chillies,Deepikalu,Chillies (Deepikalu),150,,2022-03-14
Chillies,Endo 5,Chillies (Endo 5),150,,2022-03-14
Chillies,Sannalu,Chillies (Sannalu),150,,2022-03-14
Chillies,Talu,Chillies (Talu),150,,2022-03-14
Chillies,Teja,Chillies (Teja),150,,2022-03-14
Chillies,Uttaradi Lavulu,Chillies (Uttaradi Lavulu),150,,2022-03-14
Chillies,Warangal Mirchi,Chillies (Warangal Mirchi),150,,2022-03-14
Chillies,Warangal Papadalu,Chillies (Warangal Papadalu),150,,2022-03-14
Chillies,Bangaram Mirchi,Chillies (Bangaram Mirchi),150,,2022-03-23
Chillies,Bullets Mirchi,Chillies (Bullets Mirchi),150,,2022-03-23
Chollu,Chollu,Chollu,75,,2022-03-14
Dhaniyalu,Dhaniyalu,Dhaniyalu,75,,2022-03-23
Gantelu,Bazra,Gantelu (Bazra),75,,2022-03-14
Jaggery,Jaggery,Jaggery,120,,2022-03-14
Jonnalu,Jonnalu,Jonnalu,75,,2022-03-14
Kandi Pappu,Kandi Pappu,Kandi Pappu,75,,2022-03-14
Kunkullu,Kunkullu,Kunkullu,75,,2022-03-14
Mango Jelly,Mango Jelly,Mango Jelly,75,,2022-03-14
Minumulu,Minumulu,Minumulu,75,,2022-03-14
Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,75,,2022-03-14
Pesalu,Pesalu,Pesalu,75,,2022-03-14
Potatoes,Potatoes,Potatoes,75,,2022-03-23
Sanaga Pappu,Sanaga Pappu,Sanaga Pappu,75,,2022-03-14
Sanagalu,Sanagalu,Sanagalu,75,,2022-03-14
Tamarind,Bada Bathi,Tamarind (Bada Bathi),125,,2022-03-14
Tamarind,Chapathi,Tamarind (Chapathi),125,,2022-03-14
Tamarind,Chikkulu,Tamarind (Chikkulu),125,,2022-03-14
Tamarind,Deasavali,Tamarind (Deasavali),125,,2022-03-14
Tamarind,Flower,Tamarind (Flower),125,,2022-03-14
Tamarind,Hyd-Pala,Tamarind (Hyd-Pala),125,,2022-03-14
Tamarind,Juice,Tamarind (Juice),125,,2022-03-14
Tamarind,Karipuli,Tamarind (Karipuli),125,,2022-03-14
Tamarind,Mudda,Tamarind (Mudda),125,,2022-03-14
Tamarind,Mysore,Tamarind (Mysore),125,,2022-03-14
Tamarind,Nagari,Tamarind (Nagari),125,,2022-03-14
Tamarind,Pala,Tamarind (Pala),125,,2022-03-23
Tamarind,Palta,Tamarind (Palta),125,,2022-03-14
Tamarind,Tita,Tamarind (Tita),125,,2022-03-14
Ulavalu,Ulavalu,Ulavalu,75,,2022-03-14
Veru Sanagalu,Veru Sanagalu,Veru Sanagalu,75,,2022-03-14
