"deliveryId","lodgementId","Delivery Date","Lot Number","Delivered Bags","Balance Bags","Months Lodged","Total Charges Paid","Rent Receivable on Delivered Bags"
"6433da348a12e9ad0dd6b90e","643373178a12e9ad0d2fa451","04/01/2020","2525/589","15","108","0 Months","79","0"
"6433da348a12e9ad0dd6b90f","643373178a12e9ad0d2fa451","06/01/2020","2525/589","10","98","0 Months","52","0"
"6433da348a12e9ad0dd6b910","643373178a12e9ad0d2fa451","18/01/2020","2525/589","4","94","0 Months","21","0"
"6433da348a12e9ad0dd6b911","643373178a12e9ad0d2fa451","18/01/2020","2525/589","10","84","0 Months","52","0"
"6433da348a12e9ad0dd6b912","643373178a12e9ad0d2fa451","22/01/2020","2525/589","10","74","0 Months","52","0"
"6433da348a12e9ad0dd6b913","643373178a12e9ad0d2fa451","25/01/2020","2525/589","20","54","0 Months","105","0"
"6433da348a12e9ad0dd6b914","643373178a12e9ad0d2fa451","29/01/2020","2525/589","20","34","0 Months","105","0"
"6433da348a12e9ad0dd6b915","643373178a12e9ad0d2fa451","02/02/2020","2525/589","10","24","0 Months","52","0"
"6433da348a12e9ad0dd6b916","643373178a12e9ad0d2fa451","07/02/2020","2525/589","24","0","0 Months","126","0"
"6433da348a12e9ad0dd6b917","643373178a12e9ad0d2fa452","07/02/2020","4025/807","21","786","0 Months","59","0"
"6433da348a12e9ad0dd6b918","643373178a12e9ad0d2fa452","09/02/2020","4025/807","36","750","0 Months","102","0"
"6433da348a12e9ad0dd6b919","643373178a12e9ad0d2fa452","09/02/2020","4025/807","72","678","0 Months","203","0"
"6433da348a12e9ad0dd6b91a","643373178a12e9ad0d2fa452","12/02/2020","4025/807","8","670","0 Months","22","0"
"6433da348a12e9ad0dd6b91b","643373178a12e9ad0d2fa452","13/02/2020","4025/807","72","598","0 Months","203","0"
"6433da348a12e9ad0dd6b91c","643373178a12e9ad0d2fa452","14/02/2020","4025/807","72","526","0 Months","203","0"
"6433da348a12e9ad0dd6b91d","643373178a12e9ad0d2fa452","14/02/2020","4025/807","55","471","0 Months","155","0"
"6433da348a12e9ad0dd6b91e","643373178a12e9ad0d2fa452","15/02/2020","4025/807","72","399","0 Months","203","0"
"6433da348a12e9ad0dd6b91f","643373178a12e9ad0d2fa452","15/02/2020","4025/807","9","390","0 Months","25","0"
"6433da348a12e9ad0dd6b920","643373178a12e9ad0d2fa452","16/02/2020","4025/807","72","318","0 Months","203","0"
"6433da348a12e9ad0dd6b921","643373178a12e9ad0d2fa452","28/02/2020","4025/807","30","288","0 Months","84","0"
"6433da348a12e9ad0dd6b922","643373178a12e9ad0d2fa452","28/02/2020","4025/807","30","258","0 Months","84","0"
